Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
EU,1,5000,129317,25.8634,15.7851,0.186109,7646.83,0.607336,604243,0,0,2773,735,562,353,219,358,24
EU,2,100,1109.66,11.0966,95.0218,0.950435,4.75017,1.35129,400,0,0,25,29,17,6,10,13,1
EU,2,100,1129.77,11.2977,96.7949,0.960822,4.28695,1.53924,235,0,0,26,34,17,4,11,8,2
EU,2,100,1075.89,10.7589,95.2261,0.937834,4.8041,1.18513,418,0,0,23,28,13,9,12,15,3
EU,2,100,973.93,9.7393,97.2079,0.967491,4.52493,1.23501,216,0,0,21,34,14,6,8,17,4
EU,2,100,1483.6,14.836,90.7738,0.963836,4.66675,1.74527,775,0,0,37,25,18,4,6,10,5
EU,2,100,1290.69,12.9069,94.675,0.956954,4.90199,1.36513,494,0,0,30,26,11,7,11,15,6
EU,1,5000,129194,25.8387,16.0109,0.187721,7621.77,0.594293,602607,0,0,2778,709,584,363,221,345,26
EU,2,100,1240.3,12.403,94.4365,0.952886,4.82021,1.44857,469,0,0,29,22,21,6,11,11,7
EU,2,100,1141.67,11.4167,97.2471,0.957205,4.67667,1.42449,221,0,0,26,23,23,7,5,16,8
EU,2,100,1274.93,12.7493,93.4775,0.964025,4.6058,1.54299,531,0,0,30,30,15,9,9,7,9
EU,2,100,1216.05,12.1605,95.0275,0.950333,4.73278,1.47015,407,0,0,28,26,19,5,10,12,10
EU,2,100,1241.33,12.4133,94.7743,0.966063,4.58933,1.63618,396,0,0,30,33,16,2,9,10,11
EU,2,100,1144.69,11.4469,93.3595,0.961122,4.65998,1.381,541,0,0,26,27,18,7,9,13,12
EU,2,100,1093.5,10.935,95.4699,0.963489,4.63321,1.28599,376,0,0,24,27,17,10,11,11,13
EU,2,100,1209.73,12.0973,97.8224,0.974438,4.42692,1.35967,195,0,0,28,25,14,7,7,19,14
EU,2,100,1266.34,12.6634,94.5673,0.965707,4.6841,1.49002,457,0,0,30,29,14,5,8,14,15
EU,2,100,1374.04,13.7404,96.7525,0.980016,4.98822,1.45414,309,0,0,33,26,9,7,6,19,16
EU,2,100,1300.43,13.0043,96.2105,0.972937,4.67601,1.55337,319,0,0,31,28,15,7,6,13,17
EU,2,100,1309.97,13.0997,93.4485,0.95805,4.67055,1.42616,588,0,0,31,26,13,9,4,17,18
EU,2,100,948.954,9.48954,93.7433,0.953488,4.49833,1.19648,468,0,0,20,30,20,8,6,16,19
EU,2,100,1197.97,11.9797,96.4116,0.977038,4.66408,1.44645,302,0,0,28,28,15,6,4,19,20
EU,2,100,1063.32,10.6332,94.1014,0.960074,4.55056,1.35533,448,0,0,24,27,22,4,9,14,21
EU,2,100,1035.71,10.3571,95.5677,0.969814,4.60803,1.31134,342,0,0,23,29,19,7,8,14,22
EU,2,100,1154.55,11.5455,97.0478,0.968837,4.57498,1.55718,220,0,0,27,28,22,4,7,12,23
EU,2,100,1152.55,11.5255,95.1299,0.953555,4.57192,1.55564,358,0,0,27,39,12,3,4,15,24
EU,2,100,1282.39,12.8239,96.6716,0.966547,4.72118,1.45669,294,0,0,30,27,13,10,5,15,25
EU,2,100,1244.3,12.443,94.1263,0.961284,4.65641,1.3746,519,0,0,29,27,13,6,9,16,26
EU,2,100,927.251,9.27251,95.5909,0.962111,4.59184,1.08294,360,0,0,19,35,10,10,9,17,27
EU,2,100,1305.78,13.0578,92.0579,0.962908,4.66387,1.48324,680,0,0,31,27,15,7,5,15,28
EU,1,5000,129307,25.8614,16.2628,0.187597,7293.81,0.590469,600812,0,0,2781,717,575,339,237,351,27
EU,2,100,1153.15,11.5315,93.8564,0.934641,4.576,1.44032,480,0,0,26,30,18,6,5,15,29
EU,2,100,1100.55,11.0055,96.31,0.943796,4.77232,1.25591,318,0,0,24,28,14,8,8,18,30
EU,2,100,1431.52,14.3152,94.1125,0.969627,4.87339,1.56487,536,0,0,35,23,15,6,6,15,31
EU,2,100,1365.54,13.6554,93.6809,0.940394,4.77722,1.69349,509,0,0,33,26,20,6,3,12,32
EU,2,100,1109.62,11.0962,96.2631,0.955577,4.69929,1.36736,300,0,0,25,22,24,7,7,15,33
EU,2,500,6386.21,12.7724,77.5199,0.814244,44.2384,1.29977,9260,0,0,132,151,86,29,39,63,2
EU,2,500,6107.03,12.2141,81.7081,0.829429,46.9225,1.2545,7601,0,0,121,151,84,30,40,74,1
EU,2,500,6263.83,12.5277,77.2063,0.792743,45.7403,1.2224,9564,0,0,122,149,87,33,37,72,3
EU,2,500,6263.78,12.5276,79.3652,0.820642,46.5039,1.27237,8666,0,0,127,149,83,26,37,78,4
EU,2,500,7166.18,14.3324,72.7743,0.80578,46.0444,1.4005,11676,0,0,158,135,89,20,26,72,5
EU,2,500,6636.2,13.2724,80.168,0.825488,46.5994,1.35177,8476,0,0,139,148,78,26,35,74,6
EU,2,500,6524.33,13.0487,79.0782,0.827481,46.2594,1.24645,9269,0,0,135,123,90,41,42,69,7
EU,2,500,6571.49,13.143,78.3745,0.823866,43.6982,1.46416,8536,0,0,142,153,95,21,36,53,9
EU,2,500,6564.65,13.1293,78.2986,0.824017,47.6844,1.24671,9579,0,0,138,128,86,28,39,81,8
EU,2,500,6550.02,13.1,76.061,0.808714,45.4289,1.33633,9866,0,0,136,138,100,29,40,57,10
EU,2,500,6326.34,12.6527,79.0448,0.819503,44.2304,1.29812,8657,0,0,129,151,86,34,33,67,11
EU,2,500,6944.52,13.889,76.6846,0.825259,47.61,1.33915,10252,0,0,147,139,77,40,39,58,12
EU,2,500,6324.81,12.6496,79.9512,0.835766,35.5354,1.23887,8626,0,0,128,135,88,31,43,75,15
EU,2,500,6044.34,12.0887,78.2189,0.814325,42.9552,1.25208,8756,0,0,121,150,95,31,31,72,14
EU,2,500,6433.75,12.8675,80.2098,0.833473,45.3264,1.24602,8642,0,0,133,127,90,29,44,77,13
EU,2,500,6327.01,12.654,79.8467,0.820331,40.2724,1.30568,8362,0,0,129,153,82,35,32,69,16
EU,2,500,7347.56,14.6951,75.2935,0.828742,39.5706,1.4122,10984,0,0,164,131,80,18,43,64,17
EU,2,500,6093.11,12.1862,79.673,0.829062,38.2363,1.27254,8217,0,0,125,157,84,32,31,71,18
EU,2,500,6427.47,12.8549,79.7345,0.830493,33.1394,1.35977,8320,0,0,135,142,94,32,31,66,21
EU,2,500,5749.33,11.4987,82.7718,0.827368,39.945,1.25277,6873,0,0,112,156,90,35,32,75,19
EU,2,500,6694.64,13.3893,79.8539,0.819508,44.6294,1.33901,8688,0,0,141,142,81,30,28,78,20
EU,2,500,6357.24,12.7145,79.4306,0.832236,39.7441,1.35714,8308,0,0,132,145,96,36,37,54,22
EU,2,500,6460.83,12.9217,78.6905,0.808479,37.0784,1.29172,9022,0,0,133,151,79,24,51,62,23
EU,2,500,6285.07,12.5701,77.4826,0.818691,45.7619,1.24539,9376,0,0,128,143,91,31,30,77,24
EU,2,500,6846.64,13.6933,76.7438,0.813625,37.7531,1.30464,10189,0,0,145,130,88,33,38,66,25
EU,2,500,6481.45,12.9629,78.5487,0.829881,43.3738,1.24566,9297,0,0,135,145,75,41,41,63,26
EU,2,500,6236.34,12.4727,81.6236,0.824009,46.1522,1.30983,7572,0,0,129,147,89,32,35,68,27
EU,2,500,6610.35,13.2207,79.8231,0.816862,39.9685,1.21504,9127,0,0,136,137,70,32,45,80,28
EU,2,500,6786.43,13.5729,78.3003,0.826008,50.3216,1.29473,9583,0,0,145,138,76,26,47,68,29
EU,2,500,6734.25,13.4685,77.2807,0.824375,40.0057,1.29783,9949,0,0,141,137,81,33,42,66,30
EU,2,500,5885.11,11.7702,78.7244,0.822231,47.18,1.17917,8780,0,0,116,143,93,35,37,76,31
EU,2,500,6593.09,13.1862,77.8519,0.797089,45.7254,1.38935,9036,0,0,136,153,90,31,27,63,32
EU,2,500,6431.13,12.8623,80.6329,0.821818,45.6419,1.32882,8097,0,0,133,143,89,33,32,70,33
EU,2,1000,15800.6,15.8006,57.0046,0.63654,173.677,1.07758,40263,0,0,267,291,166,60,74,142,1
EU,2,1000,16010,16.01,57.0064,0.644654,158.359,1.13318,40061,0,0,288,278,173,56,82,123,3
EU,2,1000,16119.4,16.1194,56.9831,0.645424,166.814,1.13447,40546,0,0,291,283,158,59,73,136,2
