Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,1,500,11801.4,23.6029,8.73521,0.0869565,0.611395,0.1149,0,0,260.87,86.9565,43.4783,21.7391,21.7391,65.2174,17
BR,1,500,10809.6,21.6192,8.72727,0.0869565,0.633727,0.114898,0,0,260.87,21.7391,21.7391,130.435,0,65.2174,16
BR,1,500,13991.2,27.9823,4.36496,0.0434783,0.64313,0.114899,0,0,347.826,43.4783,43.4783,43.4783,0,21.7391,15
BR,1,500,9921.62,19.8432,8.70488,0.0869565,0.590864,0.114899,0,0,217.391,21.7391,130.435,43.4783,21.7391,65.2174,18
BR,1,500,10119.7,20.2394,4.33333,0.0434783,0.570906,0.114899,0,0,195.652,86.9565,86.9565,65.2174,21.7391,43.4783,19
BR,1,500,11542.2,23.0843,4.36231,0.0434783,0.535463,0.114898,0,0,239.13,108.696,43.4783,21.7391,65.2174,21.7391,21
BR,1,500,11132.8,22.2657,4.33333,0.0434783,0.561178,0.114897,0,0,239.13,65.2174,86.9565,43.4783,43.4783,21.7391,22
BR,1,500,11429.1,22.8581,8.67718,0.0869565,0.551719,0.114899,0,0,282.609,21.7391,43.4783,43.4783,21.7391,86.9565,23
BR,1,500,12877.9,25.7558,8.72463,0.0869565,0.590064,0.114898,0,0,304.348,65.2174,43.4783,21.7391,21.7391,43.4783,20
BR,1,500,11418.7,22.8374,0,0,0.525502,0,0,0,239.13,86.9565,65.2174,65.2174,21.7391,21.7391,25
BR,1,500,14855.5,29.7109,0,0,0.562348,0,0,0,391.304,21.7391,21.7391,21.7391,43.4783,0,24
BR,1,500,11157.2,22.3144,8.72463,0.0869565,0.577998,0.114899,0,0,260.87,43.4783,43.4783,43.4783,65.2174,43.4783,26
BR,1,500,14200.9,28.4018,4.36761,0.0434783,0.527851,0.114898,0,0,347.826,65.2174,21.7391,43.4783,0,21.7391,28
BR,1,500,11615.4,23.2308,4.33465,0.0434783,0.647094,0.114898,0,0,282.609,21.7391,43.4783,86.9565,43.4783,21.7391,27
BR,1,500,10536.4,21.0728,4.33728,0.0434783,0.533314,0.114899,0,0,239.13,43.4783,43.4783,86.9565,43.4783,43.4783,29
BR,1,500,11804,23.6081,4.35703,0.0434783,0.534817,0.114898,0,0,282.609,43.4783,21.7391,65.2174,65.2174,21.7391,31
