Cenario,Nos,EnergiaTotal_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisao,PerdasSinalFraco,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
2,1000,35487.6,35.4876,2.11298,0.0239999,167.638,2.4155,0,0,995,3,0,1,1,0,15
2,1000,35179,35.179,2.10112,0.0282522,207.509,1.82458,0,0,985,8,0,0,3,4,14
2,1000,35256.5,35.2565,1.9711,0.0277686,164.072,2.15697,0,0,988,3,5,2,0,2,16
2,1000,35110.4,35.1104,1.94228,0.0289241,183.12,1.78521,0,0,983,8,2,3,1,3,17
2,1000,35267.1,35.2671,2.18116,0.030203,170.191,2.07815,0,0,988,5,2,1,0,4,18
2,1000,35241.1,35.2411,2.36403,0.0288343,176.498,1.81579,0,0,987,3,2,1,2,5,19
2,1000,35477.7,35.4777,2.42061,0.0282624,188.907,2.23058,0,0,993,2,1,0,1,3,21
2,1000,35296.7,35.2967,2.36637,0.0323012,208.557,2.3445,0,0,989,7,1,2,1,0,20
2,1000,35493.8,35.4938,1.61536,0.019,203.933,2.32781,0,0,995,1,2,0,0,2,22
2,1000,35253.7,35.2537,2.95872,0.0357384,201.934,2.13396,0,0,988,4,2,0,1,5,24
2,1000,35469.2,35.4692,1.747,0.0227942,213.605,2.49664,0,0,994,2,3,0,1,0,23
2,1000,35401.7,35.4017,1.41175,0.017,209.257,1.79641,0,0,992,2,1,2,0,3,25
2,1000,35501.1,35.5011,2.24168,0.0255346,153.94,2.31844,0,0,995,0,2,1,1,1,26
2,1000,35424.9,35.4249,2.41187,0.0279976,188.64,2.32724,0,0,993,2,2,0,0,3,27
2,1000,35187.8,35.1878,2.24607,0.0307531,179.107,1.98751,0,0,986,3,5,1,1,4,28
2,1000,35382.4,35.3824,1.64859,0.0198059,220.019,1.73879,0,0,991,2,1,0,0,6,29
2,1000,35252.9,35.2529,2.03455,0.0279997,205.057,2.15307,0,0,988,3,5,0,1,3,30
2,1000,35105.5,35.1055,2.37978,0.0320522,174.955,1.82399,0,0,983,5,4,2,0,6,31
2,1000,35381.9,35.3819,2.09045,0.0259085,161.527,2.27762,0,0,992,4,1,0,0,3,33
2,1000,35352.5,35.3525,1.59131,0.021661,208.501,2.1739,0,0,991,4,2,0,1,2,32
2,2000,70559,35.2795,2.33686,0.0314124,803.517,2.054,0,0,1975,9,5,0,1,10,1
2,2000,70655.2,35.3276,2.04689,0.0265373,730.158,1.98396,0,0,1978,4,7,1,3,7,3
2,2000,70808.8,35.4044,1.72734,0.0227436,857.498,2.0803,0,0,1982,6,4,1,2,5,2
